iso_code,continent,location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
UZB,Asia,Uzbekistan,34081449,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,,4,71.72,0.72
VUT,Oceania,Vanuatu,319136,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,25.209,,70.47,0.609
VAT,Europe,Vatican,511,,,,,,,,,,,75.12,
VEN,South America,Venezuela,28199866,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,0.8,72.06,0.711
VNM,Asia,Vietnam,97468028,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,85.847,2.6,75.4,0.704
WLF,Oceania,Wallis and Futuna,11627,,,,,,,,,,,79.94,
ESH,Africa,Western Sahara,565581,,28.4,,1.38,,,,,,,70.26,
OWID_WRL,,World,7909295152,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,60.13,2.705,72.58,0.737
YEM,Asia,Yemen,32981641,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,49.542,0.7,66.12,0.47
ZMB,Africa,Zambia,19473125,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,13.938,2,63.89,0.584
ZWE,Africa,Zimbabwe,15993524,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,36.791,1.7,61.49,0.571
